Title,Author,Price(in ₹),Book Format,Rating,Ratings Count,URL
As a Man Thinketh,,69,Paperback,4.4,,https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=sr_1_1?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-1
The Alchemist,,227,Paperback,4.6,,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=sr_1_2?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-2
That Night: Four Friends. Twenty Years. One Haunting Secret.,,206,Paperback,4.3,,https://www.amazon.in/That-Night-Friends-Haunting-Secret/dp/0143451871/ref=sr_1_3?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-3
You Only Live Once: One for Passion Two for Love Three for Friendship,,247,Paperback,4.4,,https://www.amazon.in/You-Only-Live-Once-Friendship/dp/0143453580/ref=sr_1_4?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-4
All the Light We Cannot See: The Breathtaking World Wide Bestseller,,"299
                           
                            .",Kindle Edition,4.5,,https://www.amazon.in/All-Light-We-Cannot-See-ebook/dp/B00G1TOJ7Y/ref=sr_1_5?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-5
About a Girl: Book 1 (Tess Brookes Series),,399,Mass Market Paperback,4.6,,https://www.amazon.in/About-Girl-Tess-Brookes-Book/dp/0007497989/ref=sr_1_6?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-6
Journey to the Centre of the Earth,,109,Paperback,4.4,,https://www.amazon.in/Journey-Centre-Earth-Jules-Verne/dp/8175994053/ref=sr_1_7?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-7
A Gentleman in Moscow: The worldwide bestseller,,"240
                           
                            .",Kindle Edition,4.5,,https://www.amazon.in/Gentleman-Moscow-Amor-Towles-ebook/dp/B01AYBWPUM/ref=sr_1_8?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-8
The Best of Paulo Coelho - (5 Book Slip Case),,940,Paperback,4.7,,https://www.amazon.in/Best-Paulo-Coelho-Book-Slip/dp/0008293619/ref=sr_1_9?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-9
The Secret Messenger: The gripping historical fiction novel from the international bestseller,,312,Paperback,4.5,,https://www.amazon.in/Secret-Messenger-Mandy-Robotham/dp/0008324263/ref=sr_1_10?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-10
"Anxious People: The No. 1 New York Times bestseller, now a Netflix TV Series",,"257
                           
                            .",Kindle Edition,4.6,,https://www.amazon.in/Anxious-People-comforting-bestselling-escapist-ebook/dp/B081RGCWTS/ref=sr_1_11?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-11
The Paper Palace: The No.1 New York Times Bestseller and Reese Witherspoon Bookclub Pick,,"309
                             
                              .",Paperback,4.2,,https://www.amazon.in/Paper-Palace-Bestseller-Witherspoon-Bookclub/dp/0241990459/ref=sr_1_12?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-12
"Girl A: The Sunday Times and New York Times global best seller, an astonishing new crime thriller debut novel from the biggest literary fiction voice of 2021",,305,Paperback,4.1,,https://www.amazon.in/Girl-astonishing-thriller-biggest-literary/dp/0008439338/ref=sr_1_13?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-13
"The Mad Women's Ball: The prize-winning, international bestseller and Sunday Times Top Fiction selection",,391,Paperback,4.1,,https://www.amazon.in/Mad-Womens-Ball-Sunday-Fiction/dp/1529176778/ref=sr_1_14?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-14
"THE MAID: The instant Sunday Times and the No.1 New York Times bestseller, a gripping read in mystery books that everyone’s talking about",,354,Paperback,4.2,,https://www.amazon.in/MAID-instant-bestseller-gripping-everyones/dp/0008539049/ref=sr_1_15?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-15
"The Start of Something: the new heartwarming romance fiction novel of 2022, from the Sunday Times bestseller of Take A Look At Me Now",,376,Paperback,4.3,,https://www.amazon.in/Start-Something-utterly-charming-bestseller/dp/0008440751/ref=sr_1_16?keywords=best+seller+books&qid=1653311050&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-16
One Small Mistake: An addictive and heart racing new thriller,Dandy Smith,0,Kindle Edition,4.4,"2,714",https://www.amazon.in/One-Small-Mistake-addictive-thriller-ebook/dp/B09BCJW3QL/ref=sr_1_17?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-17
The Art of War | Sun Tzu | Hardcover edition | International Bestseller Book,Sun Tzu,134,Hardcover,4.3,"9,089",https://www.amazon.in/Art-Hardcover-International-Bestseller-Book/dp/9391626491/ref=sr_1_18?keywords=best+seller+books&qid=1653311052&refinements=p_n_feature_three_browse-bin%3A9141482031%2Cp_n_condition-type%3A8609960031&rnid=8609959031&s=books&sprefix=best+se%2Cstripbooks%2C387&sr=1-18
